Checklist Question,Matched Subcategories,Scores
Are all certificates valid (including calibration certs as per AD-04)?,Certificates & Documentation # Certificates and Documentation - Document # Certificates & Documentation - Ship Certificate,0.639 # 0.623 # 0.602
"Any major surveys / CSM items due next 3 months. If any overdue, to be dealt with immediately?",Shipboard mar. poll. Emergency plan (MPEP) for NLS ,0.646 # 0.644 # 0.639
Any COCs on vessel. Check due dates?,Others,0.680 # 0.677 # 0.672
"Review of last Internal Audit/PSC/FSI/Vetting Reports. Any remarks/observations outstanding? If closed, is the closure effective?","Report of inspection on MLC, 2006",0.702 # 0.670 # 0.669
Contact point list of SOPEP is updated.?,Others,
All ITU publications provided onboard are up-to-date.?,Facilities for reception of marine safety information # Nautical publications,0.647 # 0.637 # 0.627
Latest nautical publications are available on board.?,Nautical publications # Charts,0.729 # 0.684 # 0.675
Endorsement by Flag State of crew certificate are valid.?,Endorsement by flagstate # Application for Endorsement by flagstate # Certificates for master and officers,0.800 # 0.760 # 0.717
Any past PSC detentions/SIRE refusals?,Others,0.670 # 0.658 # 0.658
Seafarer Employment Agreement (SEA) is valid within the contract period. The contract period of SEA is checked to be in line with company procedure.?,Seafarer' employment agreement SEA # Survey report file # Record of employment,0.745 # 0.708 # 0.685
Wage is paid in monthly interval in accordance with SEA/CBA.?,Wages # Calculation and payment,0.709 # 0.705 # 0.705
Condition of Accomodation AC / heating?,"Insulation # Heating # Cold room, cold room cleanliness, cold room temperature",0.670 # 0.664 # 0.661
Availability of normal temp/hot water at all decks?,Heating,0.651 # 0.648 # 0.647
Condition of provisions/potable fresh water?,"Provisions quality # Water, pipes, tanks",0.715 # 0.711 # 0.705
Record of potable water testing?,"Water, pipes, tanks",0.643 # 0.633 # 0.628
"Housekeeping and hygiene in galley and common spaces in accommodation. Galley floor tiles in good condition, no leaking taps.?","Cleanliness # Galley, handlingroom (maintenance)",0.749 # 0.738 # 0.733
"Fire doors closing properly. No stoppers or hold-backs in place to keep doors open, (including those in the galley, store rooms, mess rooms)?","Fire doors/openings in fire-resisting divisions # Means of control (opening, pumps) Machinery spaces # Fire-dampers",0.748 # 0.706 # 0.695
Cleanliness of common toilets on various decks?,Manholes / flush scuttles # Sanitary facilities # Cleanliness,0.702 # 0.695 # 0.679
"Cleanliness of individual cabins, including toilets?","Cleanliness # Dirty, parasites # Furnishings",0.728 # 0.707 # 0.689
"Cleanliness of Hospital, Record and availability of medicines, condition of Medical oxygen and equipment. Test of call alarm.?","Cleanliness # Medical equipment # Medical Equipment, medical chest, medical guide",0.697 # 0.689 # 0.680
Crew contracts - crew member must be performing duties for which the contract is signed. For e.g - a person having signed a contract as wiper cannot be shown performing motorman duty even if he has a watchkeeping certificate.?,Certificate for rating for watchkeeping # Certificate for rating able seafarer deck/engine and electro-technical # Seafarer' employment agreement SEA,0.678 # 0.658 # 0.652
LSA / FFA Equipment and Systems?,"Performance standards for radio equipment # Evaluation, testing and approval",0.649 # 0.637 # 0.636
"Fixed fire fighting system for ER and pump room last tested/next testing due. If CO2 system, check validity of cylinder weightment and pressure testing dates ; check that flexible hoses for CO2 system have been renewed at 10 years interval.?",Fixed fire extinguishing installation # Maintenance of Fire protection systems # Ready availability of fire fighting equipment,0.742 # 0.722 # 0.701
"Fixed fire fighting system for deck on tankers last tested/next testing due. If foam system, check foam type and analysis reports , level of compound in foam tank (reqd qty of foam compound as per calculations in Foam system manual to be displayed at tank. Level corresponding to this approved quantity to be marked on level gauge.?",Fire protection cargo deck area # Fixed fire extinguishing installation # Decks - corrosion,0.747 # 0.680 # 0.667
Fixed deck water spray system for gas carriers and IGF code vessels?,Fire protection cargo deck area # Fixed fire extinguishing installation # Certificate for personnel on ships subject to the IGF Code,0.676 # 0.654 # 0.647
Fixed gas detection system on IGF code vessels for Fuel Preparation Room on IGF Code vessels?,Inert gas system # Inert gas alarm # Certificate for personnel on ships subject to the IGF Code,0.730 # 0.713 # 0.711
Fixed fire fighting system for paint store/Sample locker?,Fixed fire extinguishing installation # Fire doors/openings in fire-resisting divisions # Fire protection cargo deck area,0.677 # 0.639 # 0.636
Portable fire extinguishers last tested and charged. Date of servicing/pressure testing should be valid.?,Maintenance of Fire protection systems # Fire fighting equipment and appliances # Ready availability of fire fighting equipment,0.720 # 0.678 # 0.673
Condition of main fire pumps/Emcy fire p/p. Pumps tried out?,Fire pumps and its pipes # Emergency fire pump and its pipes # Maintenance of Fire protection systems,0.733 # 0.712 # 0.687
Condition of hoses and nozzles Samples Checked ?,"Maintenance of Fire protection systems # Ready availability of fire fighting equipment # Gauges, thermometers etc.",0.658 # 0.651 # 0.639
Condition of fire line on deck & ER - any leakages/doublers/soft patches / temporary repairs?,"Maintenance of Fire protection systems # Division - decks, bulkheads and penetrations # Fire pumps and its pipes",0.656 # 0.655 # 0.654
"Condition of fire line isolating valve. For tankers, condition of main deck line isolating valves?",Cargo tank vent system # Fire protection cargo deck area # Fire pumps and its pipes,0.702 # 0.693 # 0.693
Foam compound  last test date / shelf life?,Others,
"Quick closing valves & mechanism, check of operation.?","Means of control (opening, pumps) Machinery spaces # Operation of machinery # Closing devices/watertight doors",0.683 # 0.647 # 0.645
Functioning of Remote stops and funnel flaps (including remote stops for IGF Code vessels)?,"Machinery space openings # Means of control (opening, pumps) Machinery spaces",0.667 # 0.667 # 0.665
Condition of cargo hold ventilator flaps/pump room blowers high/low suction flaps / flaps of all natural and mechanical ventilators on deck.?,"Ventilators, air pipes, casings # Openings to cargo area, doors, ..., scuttles # Cargo pump room",0.698 # 0.674 # 0.668
Condition of accommodation vents / recirc flaps of AC system?,"Ventilation (Accommodation) # Ventilation (Working spaces) # Ventilators, air pipes, casings",0.687 # 0.663 # 0.652
Fire detection & alarm system  condition of sensors/test record / test gas(should be non flammable type for tankers)?,Fire protection cargo deck area # Fire detection # Inert gas alarm,0.730 # 0.722 # 0.708
Condition of lifeboat structure?,Stowage and provision of lifeboats # Launching arrangements for survival craft # Embarkation arrangement survival craft,0.754 # 0.747 # 0.746
Condition of lifeboat machinery including covers. Engines Tried Out. Starting battery expiry date (or supply date) and spare starting motor.?,Lifeboats # Reserve source of energy # Launching arrangements for survival craft # Embarkation arrangement survival craft,0.714 # 0.708 # 0.705
"Lifeboat launching arrangement - condition of davits, hoisting winch motor, limit switches, embarkation ladders (including the condition of spliced ends), remote lowering mechanism/wire condition. Posters on bulkheads?",Launching arrangements for survival craft # Embarkation arrangement survival craft # Means of recovery of life saving appliances,0.773 # 0.744 # 0.717
