Section,Checklist Question
Certification and Personnel Management,"Is the latest Class Survey Status available and are all statutory certificates listed in the Class Survey Status valid, and is the vessel free of condition of class or significant recommendations?"
Certification and Personnel Management,Has the vessel been provided with certificates of financial security for seafarers?
Certification and Personnel Management,Can all crew communicate effectively in the working language of the ship? (V)?
Certification and Personnel Management,Is the vessel’s manning in compliance with the Safe Manning Certificate? (V)?
Certification and Personnel Management,Do all personnel maintain rest period/work hours and are the rest hours in compliance with STCW or MLC requirements? (V)?
Certification and Personnel Management,Has the Master been provided with relevant ship handling training? (V)?
Certification and Personnel Management,"Are those officers who have immediate responsibility for carrying and care of dangerous and hazardous substances in solid form in bulk, in possession of specialised training as appropriate to the type of cargo being carried? (V)?"
Certification and Personnel Management,"Are those officers who have immediate responsibility for carrying and care of dangerous and hazardous substances in packaged form, in possession of specialised training as appropriate to the type of cargo being carried? (V)?"
Certification and Personnel Management,Has an SMS policy and procedure been established to enforce the STCW Convention and Code requirements for the purpose of preventing drug and alcohol abuse? (V & M)?
Certification and Personnel Management,"Are the limits of blood and breath alcohol contents in the drug and alcohol policy equal to, or less than the STCW mandatory alcohol limit? (V&M)?"
Certification and Personnel Management,When was the date of the last recorded unannounced on-board group alcohol test?
Certification and Personnel Management,When was the date of the last unannounced drug test undertaken by an external agency?
Certification and Personnel Management,Is the officer matrix accurately completed and does it reflect the information on officers and engineers on board the vessel at the time of inspection? (V)?
Certification and Personnel Management,"Is if ECDIS was fitted on board, have the Master and Deck Officers completed Generic training and type-specific familiarisation? (V)?"
Certification and Personnel Management,Does the ship’s manager provide value-added training courses beyond the STCW to its on-board engineers? (V)?
Certification and Personnel Management,Does the Air Handling Unit (AHU) maintain a comfortable temperature and is there recorded evidence of regular maintenance and cleaning of AHU available? (V)?
Navigation,Are comprehensive written practical guidance on navigational safety available on the bridge? (V & M)?
Navigation,Are the requirements of the master’s standing orders explained to the deck officers? and are bridge order books (Night Order) being completed by the master and countersigned by the officers? (V & M)?
Navigation,"Is the manoeuvring information for the vessel displayed on the bridge and are bridge logbooks, bell book, radar performance book, and Change of Watch at Sea check list being correctly maintained? (V)?"
Navigation,Have operational checks on navigational equipment been done and are checklists being effectively completed when preparing for sea and prior to port entry? (V)?
Navigation,Are there records indicating that routine tests and checks of bridge equipment are being undertaken regularly? (V)?
Navigation,Has the master/pilot information exchange been taking place effectively and is the standard pilot card being completed as required? (V)?
Navigation,Does the vessel’s manager produce a guideline for under keel clearance and air draft clearance?
Navigation,Are the fire and safety rounds being conducted at the end of each watch? (V)?
Navigation,Does the manning level in the bridge at all stages of the voyage and anchor meet or exceed that required by the Bridge Manning Matrix and are lookout arrangements adequate? (V)?
Navigation,Is navigation equipment in good order? (V)?
Navigation,"Are navigation lights, emergency navigation lights, shapes and signalling equipment in working order? (V)?"
Navigation,"Is was the Bridge Navigational Watch Alarm System operational when the ship was underway and at anchor, and required tests conducted and recorded accordingly? (V)?"
Navigation,"Is where fitted are the standard magnetic compass, gyro compass and Global Navigation Satellite System compass, operational, adjusted and properly maintained? (V & M)?"
Navigation,"Is where manual steering is engaged, is the change over from auto steering, and vice versa, recorded? (V)?"
Navigation,Are deck officers familiar with the procedure to preserve the VDR data in the event of an incident and is there a company policy within the SMS relating to the playback of VDR data? (V)?
Navigation,"Is a chart and publication management system being implemented to ensure that all charts, nautical publications, and other publications on board are current, maintained and up to date? (V & M)?"
Navigation,Is were appropriate charts and publication used for the previous voyage? (V)?
Navigation,Can the master and watch-keeping officer demonstrate a familiarity with the use of ECDIS? (V)?
Navigation,Is the ECDIS of an approved type and does it meet the SOLAS requirement?
Navigation,Are T&P NMs and navigation warnings being used correctly in voyage planning and monitoring? (V)?
Navigation,Has the vessel been safely navigated in compliance with international and inland regulations? (V)?
Navigation,"Are records available to show that the echo-sounder recorder is being switched on prior to each approach to shallow water, port entry and departure and has the echo sounder remained in operation while the vessel has been transiting in shallow waters? (V)?"
Navigation,Is was the berth-to-berth passage plan of the previous voyage comprehensive and approved by the master? (V)?
Navigation,"Have the parallel index techniques been used when monitoring the passage in coastal and pilotage waters, particularly in conditions of restricted visibility or at night? (V)?"
Navigation,Is was the track of the ship monitored at sea and during the pilotage? (V)?
Navigation,Has the GPS been adjusted to the correct Geodetic Datum and are officers aware of the value of HDOP and is it posted next to the GPS? (V)?
Navigation,Does the vessel utilise a weather routeing service? (V)?
Navigation,"Are procedures in place controlling the use of mobile phone, internet, and email services on the bridge? (V)?"
ISM System,Has the vessel’s manager established a documented system for personnel to effectively implement the ISM Code? (V)?
ISM System,"Has a safety officer been appointed and trained, and is the safety officer familiar with the principles and practice of risk assessment? (V)?"
ISM System,Are records of the latest shipboard internal and external audits available and are actions being initiated to correct any non-conformities?
ISM System,"Does the master periodically review the effectiveness of the onboard Safety Management System, report the findings to shore based management and receive feedback from them?"
ISM System,"Are enclosed space entry procedures defined, up to date and accurate in the safety management system, and is a specific list of enclosed spaces clearly defined on board ,and are the ship’s personnel familiar with the enclosed space entry procedures? (V)?"
ISM System,Is entry into and rescue from enclosed space training undertaken and are regular drills conducted? (V)?
ISM System,"Are procedures in place for the control of hot work, are they incorporated in the safety management system and is there documented evidence of compliance?"
ISM System,Has a specific permit to work and effective Lock-Out/Tag-Out (LOTO) system been introduced for high-risk duties and are the permits being used effectively? (V)?
ISM System,Is there a schedule of drills and exercises to address potential emergency shipboard situations and is it being conducted effectively? (V)?
ISM System,"Are there procedures for reporting, investigation and close-out of non-conformities, accidents, and hazardous situations available and are they being followed? (V)?"
ISM System,Has a PPE Matrix for use of personal protective equipment been provided and is it being worn as required? (V)?
ISM System,"Are on-board safety meetings held regularly and, are they reviewed by the vessel’s manager and feedback provided where necessary?"
ISM System,Is a completed IMSBC/BLU Code ship/shore safety checklist for loading and unloading dry bulk carriers available and are the requirements of the checklist complied with?
ISM System,Are Water Ingress Detector System(WIDS) and alarms maintained in good condition and are the records of tests being maintained? (V & M)?
ISM System,Has a smoking policy been implemented; is it being followed and are designated smoking areas adequately identified? (V)?
ISM System,"Are portable gas detectors suitable for atmosphere testing of enclosed spaces provided; in good condition; calibrated in accordance with the manufacturer’s instructions, and are officers trained and competent with their operation? (V & M)?"
ISM System,Is welding and gas burning equipment in good order and properly stored? (V & M)?
ISM System,"Are the lifeboats, rescue boat and davit-launched life raft; their equipment and launching arrangements being serviced periodically; in good condition, and are the crew familiar with the launching procedure and operation? (V & M)?"
ISM System,Are life rafts in good order and are hydrostatic release units maintained and installed correctly? (V & M)?
ISM System,"Are life jackets in good condition, allocated as per the plan and donning instructions clearly displayed? (V & M)?"
ISM System,"Are immersion suits and anti-exposure suits of an approved type, in good condition, correctly stowed, readily accessible and of the appropriate size? (V & M)?"
ISM System,"Are IMO symbols to identify the location of life saving equipment, firefighting equipment and hazardous area displayed appropriately and in good condition? (V)?"
ISM System,"Has a sample of foam compound, applicable to both fixed and portable systems, been sent for regular testing and is evidence of satisfactory results available?"
ISM System,"Are fire mains and associated isolation valves, fire boxes, hoses, nozzles, applicators, and spanners regularly inspected and maintained and found to be in a satisfactory operating condition? (V & M)?"
ISM System,Are the International Shore Connection fitting arrangements clearly marked and well maintained and are the crew aware of their location? (V)?
ISM System,Are records available to show that fixed fire detection and alarm systems have been tested at regular intervals and maintained in good condition? (V)?
ISM System,"Are the fixed fire extinguishing systems (where fitted) inspected, tested and in good order? (V & M)?"
ISM System,"Is the emergency fire pump being regularly tested, in good operational condition and are starting instructions clearly posted? (V)?"
ISM System,"Are portable fire extinguishers being maintained in good order, and ready for immediate use in an emergency? (V)?"
ISM System,Are firemen’s outfits including their equipment and breathing apparatus in good condition and available for instant use? (V & M)?
ISM System,"Is the operation and maintenance of the breathing apparatus air recharging system (where fitted) incorporated in the ship’s safety management manual, and has the annual air quality check for breathing apparatus air recharging systems been carried out? (V & M)?"
ISM System,"Are records available to show that emergency escape breathing devices (EEBDs) in the accommodation and engine room are being inspected, in good condition and are available for instant use? (V & M)?"
ISM System,Are ventilation fire dampers clearly marked with open/close positions and space served and is there evidence of regular testing and maintenance? (V)?
ISM System,"Are Material Safety Data Sheets (MSDS) for all bunkers, chemicals, paint, corrosive, and toxic materials available, and are all crew familiar with their contents? (V)?"
ISM System,Is a safe means of access to the vessel being provided? (V)?
ISM System,"Are accommodation ladders and gangways maintained in good condition, marked clearly, and inspected regularly (V)?"
ISM System,"Are pilot ladders used for pilot transfer in good condition and inspected regularly, clearly identified with tags or with permanent marking and are maintenance records available? (V)?"
ISM System,Has the vessel been provided with ship-specific fire safety and SOLAS training manuals and operational booklets? (V)?
ISM System,"Is if the vessel is provided with a helicopter operating area, does the area comply with the requirements of ICS guidelines, and is there a safe access from the hatch cover to deck? (V)?"
ISM System,Is an up-to-date muster list with ship specific emergency instructions displayed? (V)?
ISM System,"Are the crew familiar with the helicopter operation at sea, and are records available to show that the proper communication, shipboard helicopter safety checklist and specific risk assessment conducted prior to helicopter operation? (V)?"
Pollution Prevention and Control,Is the Oil Record Book (Part 1) completed correctly?
Pollution Prevention and Control,"Is an approved MARPOL Shipboard Oil Pollution Emergency Plan (SOPEP) available, and up to date and are ship’s personnel familiar with their duties?"
Pollution Prevention and Control,Are the ship’s personnel aware of the requirements of MARPOL Annex V with respect to the disposal of operational waste and cargo residues from ships?
Pollution Prevention and Control,"Are scupper plugs fitted, in satisfactory condition, and are scupper filters readily available for draining rainwater on deck when the vessel is involved in solid bulk cargo operations?"
Pollution Prevention and Control,Is the vessel free from any visible bulkhead leakage?
Pollution Prevention and Control,"Are the cargo hold bilge pumping systems and bilge arrangements appropriately set, in good order and tested?"
