Checklist Question,Matched Subcategories,Scores
"Is the latest Class Survey Status available and are all statutory certificates listed in the Class Survey Status valid, and is the vessel free of condition of class or significant recommendations?",Load lines (including Exemption) # Tonnage certificate # Stability/strenght/loading information and instruments,0.724 # 0.722 # 0.702
Has the vessel been provided with certificates of financial security for seafarers?,Certificate or documentary evidence of financial security relating to shipowners liability # Certificate or documentary evidence of financial security for repatriation # Load lines (including Exemption),0.765 # 0.752 # 0.724
Can all crew communicate effectively in the working language of the ship? (V)?,Establishment of working language on board # Means of communication between safety centre and other control stations # Communication - SOLAS Chapter V,0.768 # 0.684 # 0.676
Is the vessel’s manning in compliance with the Safe Manning Certificate? (V)?,Certificate for rating able seafarer deck/engine and electro-technical # Manning specified by the minimum safe manning doc # Stability/strenght/loading information and instruments,0.785 # 0.767 # 0.759
Do all personnel maintain rest period/work hours and are the rest hours in compliance with STCW or MLC requirements? (V)?,Fitness for duty - work and rest hours # Legal documentation on work and rest hours # Night working for seafarer under the age of 18,0.743 # 0.738 # 0.715
Has the Master been provided with relevant ship handling training? (V)?,Cargo securing manual # Security awareness training # Facilities for reception of marine safety information,0.696 # 0.694 # 0.693
"Are those officers who have immediate responsibility for carrying and care of dangerous and hazardous substances in solid form in bulk, in possession of specialised training as appropriate to the type of cargo being carried? (V)?",Certificate for personnel on tankers # Special requirements # Fire protection cargo deck area,0.679 # 0.678 # 0.673
"Are those officers who have immediate responsibility for carrying and care of dangerous and hazardous substances in packaged form, in possession of specialised training as appropriate to the type of cargo being carried? (V)?",Certificate for personnel on tankers # P & A manual # Special requirements,0.683 # 0.670 # 0.669
Has an SMS policy and procedure been established to enforce the STCW Convention and Code requirements for the purpose of preventing drug and alcohol abuse? (V & M)?,Fitness for duty - intoxication # ISM # Document of compliance (DoC/ ISM),0.695 # 0.673 # 0.667
"Are the limits of blood and breath alcohol contents in the drug and alcohol policy equal to, or less than the STCW mandatory alcohol limit? (V&M)?",Fitness for duty - intoxication # Quality of fuel oil # Medical fitness,0.715 # 0.651 # 0.646
When was the date of the last recorded unannounced on-board group alcohol test?,Fitness for duty - intoxication # Atmosphere testing instruments # Other (AFS),0.679 # 0.648 # 0.639
When was the date of the last unannounced drug test undertaken by an external agency?,AIS test report # Thickness measurement report # Fitness for duty - intoxication,0.607 # 0.601 # 0.600
Is the officer matrix accurately completed and does it reflect the information on officers and engineers on board the vessel at the time of inspection? (V)?,Automatic radar plotting aid (ARPA) # Rudder angle indicator # Fire control plan - all,0.698 # 0.689 # 0.687
"Is if ECDIS was fitted on board, have the Master and Deck Officers completed Generic training and type-specific familiarisation? (V)?",Certificate for rating able seafarer deck/engine and electro-technical # Charts # Type approval equipment,0.690 # 0.689 # 0.689
Does the ship’s manager provide value-added training courses beyond the STCW to its on-board engineers? (V)?,Certificate for rating able seafarer deck/engine and electro-technical # Security awareness training # Doc evidence for personnel on passenger ships,0.699 # 0.698 # 0.697
Does the Air Handling Unit (AHU) maintain a comfortable temperature and is there recorded evidence of regular maintenance and cleaning of AHU available? (V)?,"Heating, air conditioning and ventilation # Ventilation (Accommodation) # Cold room, cold room cleanliness, cold room temperature",0.637 # 0.628 # 0.614
Are comprehensive written practical guidance on navigational safety available on the bridge? (V & M)?,Navigation bridge visibility # Navigation records # Facilities for reception of marine safety information,0.701 # 0.690 # 0.683
Are the requirements of the master’s standing orders explained to the deck officers? and are bridge order books (Night Order) being completed by the master and countersigned by the officers? (V & M)?,Adequate lighting - mooring arrangements # Certificates for master and officers # Manning specified by the minimum safe manning doc,0.713 # 0.706 # 0.704
"Is the manoeuvring information for the vessel displayed on the bridge and are bridge logbooks, bell book, radar performance book, and Change of Watch at Sea check list being correctly maintained? (V)?",Revolution counter # Navigation records # Automatic radar plotting aid (ARPA),0.768 # 0.757 # 0.757
